id,firstName,lastName,team,weight,height,jersey,year,position,homeCity,homeState,homeCountry,homeLatitude,homeLongitude,homeCountyFIPS,recruitIds
5167708,Tylon,Lee,Florida State,277,76,96,1,DL,Pace,FL,USA,29.607689,-81.9307201,12107,['106414']
5195290,Chastan,Brown,Florida State,265,80,54,1,OL,Warner Robins,GA,USA,32.6200973,-83.606568,13153,['106650']
5195291,Jesse,Harrold,Florida State,247,77,94,1,DL,Tampa,FL,USA,27.9477595,-82.458444,12057,[]
5198289,Tae'Shaun,Gelsey,Florida State,235,76,83,1,WR,Jacksonville,FL,USA,30.3321838,-81.655651,12031,[]
5209709,Teriq,Mallory,Florida State,208,77,82,1,WR,New Haven,CT,USA,41.3082138,-72.9250518,09009,[]
5216568,Sean,Poret,Florida State,285,77,75,1,OL,Sandy Springs,GA,USA,33.9242688,-84.3785379,13121,[]
5216791,Brunno,Reus,Florida State,202,72,42,1,P,Sarasota,FL,USA,27.3364347,-82.5306527,12115,['108525']
5218242,Zay,Parks,Florida State,196,71,21,1,RB,Crestview,FL,USA,30.7621326,-86.5705084,12091,[]
5218243,Jeremiah,Johnson,Florida State,207,71,30,1,RB,Tallahassee,FL,USA,30.4380832,-84.2809332,12073,[]
5218244,Gav,Holman,Florida State,233,73,43,1,LB,Uniondale,NY,USA,40.7031115,-73.5895167364443,36059,[]
5218246,Luke,Douglas,Florida State,231,77,45,1,TE,Jupiter,FL,USA,26.9260832,-80.12108914060954,12099,[]
5218249,Willy,Suarez,Florida State,191,70,85,1,WR,Tampa,FL,USA,27.9477595,-82.458444,12057,[]
5222701,Antonio,Cromartie Jr.,Florida State,185,72,33,1,DB,Atlanta,GA,USA,33.7490987,-84.3901849,13121,['108278']
5294070,Gavin,Markey,Florida State,235,72,16,1,QB,Athens,GA,USA,33.9597677,-83.376398,13059,[]
5294071,Zae,Thomas,Florida State,189,75,22,1,DB,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011,['106532']
5294072,Ethan,Pritchard,Florida State,219,74,35,1,LB,Sanford,FL,USA,28.8117297,-81.2680345,12117,['106697']
5294073,Ethan,Post,Florida State,235,75,38,1,P,Rochester,MN,USA,44.0234387,-92.4630182,27109,[]
5294074,Alex,Nocco,Florida State,190,74,53,1,LS,Tampa,FL,USA,27.9477595,-82.458444,12057,[]
5294075,Ja'Elyne,Matthews,Florida State,344,78,71,1,OL,Toms River,NJ,USA,39.9537359,-74.1979576,34029,[]
5294076,Greyson,Labiad,Florida State,250,75,89,3,TE,Celebration,FL,USA,29.62309225,-82.39622162575895,12001,[]
5294077,Tyeland,Coleman,Florida State,301,76,91,3,DL,Terry,MS,USA,32.0962633,-90.2942566,28049,['182940']
