Full_Name,position,nil_value,whisper_value,school
Duce Robinson,WR,1200000,,Florida State
Mandrell Desir,DL,810000,,Florida State
Micahi Danzy,WR,386000,,Florida State
Gunnar Hansen,OL,366000,,Florida State
Daniel Lyons,DL,335000,,Florida State
Luke Petitbon,OL,289000,,Florida State
Gavin Sawchuk,RB,88000,,Florida State
Caziah Holmes,RB,95000,,Florida State
Omar Graham Jr.,DL,35000,,Florida State
Gavin Blackwell,WR,65000,,Florida State
Jarvis Boatwright Jr.,DB,72000,,Florida State
