Full_Name,position,year,social_followers,social_source,depth_role,role_mult,base_nil,predicted_nil,confidence,predicted_nil_fmt
Tyler Williams,WR,1,4500,imputed,depth,1.0,240100.0,240100.0,estimated,"$240,100"
Hezekiah Millender,QB,1,5000,imputed,depth,1.0,240100.0,240100.0,estimated,"$240,100"
Benjamin McElreath,WR,1,4500,imputed,depth,1.0,240100.0,240100.0,estimated,"$240,100"
Jackson St. Clair,WR,1,4500,imputed,depth,1.0,240100.0,240100.0,estimated,"$240,100"
Thomas Blackshear,WR,1,4500,imputed,depth,1.0,240100.0,240100.0,estimated,"$240,100"
Ryan Montgomery,QB,1,5000,imputed,depth,1.0,240100.0,240100.0,estimated,"$240,100"
CJ Wiley,WR,1,4500,imputed,depth,1.0,240100.0,240100.0,estimated,"$240,100"
Chauncey Bowens,RB,1,4000,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Maurice Hayes,DB,1,3000,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Cole Jones,DL,1,3500,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Clayton Hood,DL,1,3500,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Duncan Carpenter,DL,1,3500,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
London Seymour,DL,1,3500,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Ondre Evans,DB,1,3000,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Jordan Thomas,DL,1,3500,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Wade Penn,RB,1,4000,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Justin Greene,DL,1,3500,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Kris Jones,DL,1,3500,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
Todd Robinson,DB,1,3000,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
AJ Kruah,DL,1,3500,imputed,depth,1.0,225300.0,225300.0,estimated,"$225,300"
