id,firstName,lastName,team,weight,height,jersey,year,position,homeCity,homeState,homeCountry,homeLatitude,homeLongitude,homeCountyFIPS,recruitIds
5079767,Justin,Williams,Georgia,220,74,19,2,LB,Conroe,TX,USA,30.3118769,-95.4560512,48339,"['108703', '111341']"
5081059,Luke,Bennett,Georgia,175,71,29,3,WR,Blackshear,GA,USA,31.3060513,-82.2420661,13229,[]
5081061,Jacob,Fleming,Georgia,190,71,35,3,S,Atlanta,GA,USA,33.7490987,-84.3901849,13121,[]
5081065,Denton,Shamburger,Georgia,200,72,41,3,DB,Atlanta,GA,USA,33.7490987,-84.3901849,13121,[]
5081066,Jacob,Hardie,Georgia,180,69,45,3,RB,Olney,MD,USA,39.1532123,-77.0668408,24031,[]
5081067,Cooper,Johnson,Georgia,225,76,48,3,TE,Cumming,GA,USA,34.2073196,-84.1401926,13117,[]
5084046,Ondre,Evans,Georgia,195,72,23,1,DB,Franklin,TN,USA,35.925193,-86.8689365,47187,"['108783', '111441']"
5084047,Nate,Frazier,Georgia,210,70,3,2,RB,Compton,CA,USA,33.894927,-118.226624,06037,['108747']
5089023,Adrian,Maddox,Georgia,200,73,14,4,S,Conyers,GA,USA,33.6676103,-84.0176904,13247,[]
5092508,Colbie,Young,Georgia,215,75,8,4,WR,Binghamton,NY,USA,42.096968,-75.914341,36007,['183484']
5093031,Gannon,Hearst,Georgia,200,72,30,3,RB,Johns Creek,GA,USA,34.0181557,-84.190196,13121,[]
5104150,Kyron,Jones,Georgia,205,72,31,2,DB,Charlotte,NC,USA,35.2272,-80.843083,37119,['113567']
5105269,Sacovie,White-Helton,Georgia,180,69,18,1,WR,Cartersville,GA,USA,34.1650972,-84.7999383,13015,['109140']
5122447,Demello,Jones,Georgia,185,73,15,2,DB,Swainsboro,GA,USA,32.5973857,-82.3337376,13107,['108748']
5130409,Colton,Heinrich,Georgia,235,76,82,1,TE,Coral Springs,FL,USA,26.26485615,-80.26534203798758,12011,['109336']
5138756,Joseph,Jonah-Ajonye,Georgia,275,76,99,1,DL,Shenandoah,TX,USA,,,,['108723']
5139097,Nyier,Daniels,Georgia,345,80,79,1,OL,Newark,NJ,USA,40.735657,-74.1723667,34013,['108969']
5141371,Ethan,Barbour,Georgia,235,75,9,1,TE,Alpharetta,GA,USA,34.0709576,-84.2747329,13121,['106360']
5141457,Juan,Gaston,Georgia,360,79,73,1,OL,Atlanta,GA,USA,33.7490987,-84.3901849,13121,['106243']
5141463,Jontae,Gilbert,Georgia,188,73,18,1,DB,Atlanta,GA,USA,33.7490987,-84.3901849,13121,['106421']
5141464,Elijah,Griffin,Georgia,310,76,90,1,DL,Pooler,GA,USA,32.1158983,-81.2495131,13051,['106194']
5141474,Dontrell,Glover,Georgia,320,75,63,1,OL,Fairburn,GA,USA,33.5670562,-84.5810418,13121,[]
5141602,Ryan,Montgomery,Georgia,215,75,15,1,QB,Findlay,OH,USA,41.0413873,-83.6503982,39063,['106323']
5141671,Talyn,Taylor,Georgia,190,72,11,1,WR,Geneva,IL,USA,41.8875281,-88.3053525,17089,['106211']
5141681,Mason,Short,Georgia,310,78,75,1,OL,Evans,GA,USA,33.5143065,-82.1387819734912,13073,['106441']
5141699,Cortez,Smith,Georgia,320,75,50,1,OL,Lilburn,GA,USA,33.8901036,-84.1429719,13135,['106349']
5141739,Zayden,Walker,Georgia,212,73,10,1,LB,Ellaville,GA,USA,32.2382139,-84.3090798,13249,['106215']
5141749,CJ,Wiley,Georgia,210,76,6,1,WR,Baton Rouge,LA,USA,30.4459596,-91.18738,22033,['106282']
5141756,Elyiss,Williams,Georgia,255,78,10,1,TE,Kingsland,GA,USA,30.7999563,-81.6898261,13039,['106220']
